NoiseStd,AvgStep,AvgReturn,Condition,Seed
0.05,1000.0,3357.7565842718454,ZOAC (Linear),500
0.055,1000.0,2798.4028916769644,ZOAC (Linear),500
0.06,1000.0,2360.3271449070476,ZOAC (Linear),500
0.065,1000.0,2226.102285603032,ZOAC (Linear),500
0.07,1000.0,1283.199078963319,ZOAC (Linear),500
0.075,1000.0,638.3336927360059,ZOAC (Linear),500
0.08,1000.0,795.5260338539177,ZOAC (Linear),500
0.085,1000.0,586.3941358074441,ZOAC (Linear),500
0.09,1000.0,832.1445282412883,ZOAC (Linear),500
0.095,1000.0,44.08111427052977,ZOAC (Linear),500
0.1,1000.0,380.6580709479865,ZOAC (Linear),500
0.0,1000.0,5158.351758633313,ZOAC (Neural),100
0.005,1000.0,5246.604030878555,ZOAC (Neural),100
0.01,1000.0,4941.425972539204,ZOAC (Neural),100
0.015,1000.0,4949.902660023728,ZOAC (Neural),100
0.02,1000.0,4712.522468612647,ZOAC (Neural),100
0.025,1000.0,4988.251790184287,ZOAC (Neural),100
0.03,1000.0,4821.638563761285,ZOAC (Neural),100
0.035,1000.0,4304.913538240525,ZOAC (Neural),100
0.04,1000.0,4397.562729723108,ZOAC (Neural),100
0.045,1000.0,4175.014089491847,ZOAC (Neural),100
0.05,1000.0,3969.446460918577,ZOAC (Neural),100
0.055,1000.0,3914.614997256899,ZOAC (Neural),100
0.06,1000.0,3892.533424712253,ZOAC (Neural),100
0.065,1000.0,3546.541949468328,ZOAC (Neural),100
0.07,1000.0,3584.5346036573824,ZOAC (Neural),100
0.075,1000.0,3352.8695108875577,ZOAC (Neural),100
0.08,1000.0,3465.823339338599,ZOAC (Neural),100
0.085,1000.0,3158.194379724061,ZOAC (Neural),100
0.09,1000.0,2812.9235800750757,ZOAC (Neural),100
0.095,1000.0,2901.1031683558476,ZOAC (Neural),100
0.1,1000.0,2289.734442522588,ZOAC (Neural),100
0.0,1000.0,5338.566552394374,ZOAC (Neural),200
0.005,1000.0,5319.439581031239,ZOAC (Neural),200
0.01,1000.0,5321.43611582199,ZOAC (Neural),200
0.015,1000.0,5262.356942852766,ZOAC (Neural),200
0.02,1000.0,5199.122706788052,ZOAC (Neural),200
0.025,1000.0,5013.313868140207,ZOAC (Neural),200
0.03,1000.0,5122.4158196238495,ZOAC (Neural),200
0.035,1000.0,4982.244185678118,ZOAC (Neural),200
0.04,1000.0,4865.116834124583,ZOAC (Neural),200
0.045,1000.0,4267.094878809235,ZOAC (Neural),200
0.05,1000.0,4430.317312656124,ZOAC (Neural),200
0.055,1000.0,4396.458114917568,ZOAC (Neural),200
0.06,1000.0,3980.5562262956378,ZOAC (Neural),200
0.065,1000.0,3677.092137978243,ZOAC (Neural),200
0.07,1000.0,3246.6583629618826,ZOAC (Neural),200
0.075,1000.0,3494.5655427892807,ZOAC (Neural),200
0.08,1000.0,3652.225481087627,ZOAC (Neural),200
0.085,1000.0,2535.6498117570145,ZOAC (Neural),200
0.09,1000.0,2975.346724795964,ZOAC (Neural),200
0.095,1000.0,2981.854822586341,ZOAC (Neural),200
0.1,1000.0,2529.412044724681,ZOAC (Neural),200
0.0,1000.0,5169.154656693744,ZOAC (Neural),300
0.005,1000.0,5292.638765309379,ZOAC (Neural),300
0.01,1000.0,5266.9552418584135,ZOAC (Neural),300
0.015,1000.0,5232.710371013971,ZOAC (Neural),300
0.02,1000.0,4994.695208524178,ZOAC (Neural),300
0.025,1000.0,5034.283436860861,ZOAC (Neural),300
0.03,1000.0,5024.162745579951,ZOAC (Neural),300
0.035,1000.0,4870.280163809761,ZOAC (Neural),300
0.04,1000.0,4897.908460806502,ZOAC (Neural),300
0.045,1000.0,4545.614156935908,ZOAC (Neural),300
0.05,1000.0,4213.212053978113,ZOAC (Neural),300
0.055,1000.0,4400.866343396246,ZOAC (Neural),300
0.06,1000.0,4141.244753631023,ZOAC (Neural),300
0.065,1000.0,3894.826678530566,ZOAC (Neural),300
0.07,1000.0,3310.7367213542766,ZOAC (Neural),300
0.075,1000.0,3122.6165156898314,ZOAC (Neural),300
0.08,1000.0,3335.7408155165595,ZOAC (Neural),300
0.085,1000.0,3333.6127162169437,ZOAC (Neural),300
0.09,1000.0,2994.9046721532736,ZOAC (Neural),300
0.095,1000.0,2855.4675057956038,ZOAC (Neural),300
0.1,1000.0,2433.3331741952925,ZOAC (Neural),300
0.0,1000.0,4830.497611526082,ZOAC (Neural),400
0.005,1000.0,4949.529261245018,ZOAC (Neural),400
0.01,1000.0,4572.237399594942,ZOAC (Neural),400
0.015,1000.0,4660.486926382038,ZOAC (Neural),400
0.02,1000.0,4362.589743759128,ZOAC (Neural),400
0.025,1000.0,4575.622984530002,ZOAC (Neural),400
0.03,1000.0,4444.766683041158,ZOAC (Neural),400
0.035,1000.0,4597.416085152555,ZOAC (Neural),400
0.04,1000.0,4442.324599510087,ZOAC (Neural),400
0.045,1000.0,4244.171371438153,ZOAC (Neural),400
0.05,1000.0,4021.538199713016,ZOAC (Neural),400
0.055,1000.0,3822.9292148300524,ZOAC (Neural),400
0.06,1000.0,3545.562297846004,ZOAC (Neural),400
0.065,1000.0,3733.3047886282484,ZOAC (Neural),400
0.07,1000.0,3349.651926690956,ZOAC (Neural),400
0.075,1000.0,3406.623142042864,ZOAC (Neural),400
0.08,1000.0,3272.1775568193148,ZOAC (Neural),400
0.085,1000.0,2904.632756980339,ZOAC (Neural),400
0.09,1000.0,2836.512734816383,ZOAC (Neural),400
0.095,1000.0,2042.2682258669959,ZOAC (Neural),400
0.1,1000.0,2401.5460250491324,ZOAC (Neural),400
0.0,1000.0,5240.445582664265,ZOAC (Neural),500
0.005,1000.0,5161.667408506644,ZOAC (Neural),500
0.01,1000.0,5041.810887533183,ZOAC (Neural),500
0.015,1000.0,5076.892865406239,ZOAC (Neural),500
0.02,1000.0,5056.705911491509,ZOAC (Neural),500
0.025,1000.0,4942.739853778356,ZOAC (Neural),500
0.03,1000.0,4609.5251439625035,ZOAC (Neural),500
0.035,1000.0,4464.313111289992,ZOAC (Neural),500
0.04,1000.0,4396.281387731899,ZOAC (Neural),500
0.045,1000.0,4325.9798357490845,ZOAC (Neural),500
0.05,1000.0,4004.3127451181717,ZOAC (Neural),500
0.055,1000.0,3751.3030216895963,ZOAC (Neural),500
0.06,1000.0,3703.580446706246,ZOAC (Neural),500
0.065,1000.0,3190.7771199057543,ZOAC (Neural),500
0.07,1000.0,3399.685318727267,ZOAC (Neural),500
0.075,1000.0,2724.7233734113374,ZOAC (Neural),500
0.08,1000.0,2739.2472170612236,ZOAC (Neural),500
0.085,1000.0,3295.4417640522315,ZOAC (Neural),500
0.09,1000.0,2248.1136688958168,ZOAC (Neural),500
0.095,1000.0,2643.282097100649,ZOAC (Neural),500
0.1,1000.0,2179.3545522439977,ZOAC (Neural),500
0.0,1000.0,4957.271440534092,ARS (Linear),100
0.005,1000.0,4750.983724784273,ARS (Linear),100
0.01,1000.0,5001.106429168012,ARS (Linear),100
0.015,1000.0,4119.373118502533,ARS (Linear),100
0.02,1000.0,4463.2420712894855,ARS (Linear),100
0.025,1000.0,3817.0284290267923,ARS (Linear),100
0.03,1000.0,3531.7808524634816,ARS (Linear),100
0.035,1000.0,2669.878343854203,ARS (Linear),100
0.04,1000.0,2204.8162288122385,ARS (Linear),100
0.045,1000.0,2049.820037669551,ARS (Linear),100
0.05,1000.0,1542.0745362754478,ARS (Linear),100
0.055,1000.0,901.1541583825541,ARS (Linear),100
0.06,1000.0,1577.8191281515867,ARS (Linear),100
0.065,1000.0,994.3487183785442,ARS (Linear),100
0.07,1000.0,1096.4324077520323,ARS (Linear),100
0.075,1000.0,934.7027582375221,ARS (Linear),100
0.08,1000.0,1214.1094371322818,ARS (Linear),100
0.085,1000.0,214.9604178172782,ARS (Linear),100
0.09,1000.0,692.2427401868664,ARS (Linear),100
0.095,1000.0,113.27012704915462,ARS (Linear),100
0.1,1000.0,7.065729551685848,ARS (Linear),100
0.0,1000.0,4935.699968078498,ARS (Linear),200
0.005,1000.0,5266.450117735956,ARS (Linear),200
0.01,1000.0,4828.475698494925,ARS (Linear),200
0.015,1000.0,3950.3503429913058,ARS (Linear),200
0.02,1000.0,3871.602685723069,ARS (Linear),200
0.025,1000.0,3420.2973054105883,ARS (Linear),200
0.03,1000.0,2631.5163141906387,ARS (Linear),200
0.035,1000.0,2380.431270752542,ARS (Linear),200
0.04,1000.0,2303.8369638120384,ARS (Linear),200
0.045,1000.0,1986.2270011100768,ARS (Linear),200
0.05,1000.0,1730.5866626214947,ARS (Linear),200
0.055,1000.0,1536.2360195033286,ARS (Linear),200
0.06,1000.0,1487.0447803847082,ARS (Linear),200
0.065,1000.0,1368.4520458577922,ARS (Linear),200
0.07,1000.0,1366.1701822851094,ARS (Linear),200
0.075,1000.0,966.3471034282907,ARS (Linear),200
0.08,1000.0,788.5378363143369,ARS (Linear),200
0.085,1000.0,577.51765617146,ARS (Linear),200
0.09,1000.0,635.6690306400307,ARS (Linear),200
0.095,1000.0,825.7506160069165,ARS (Linear),200
0.1,1000.0,691.1925005442035,ARS (Linear),200
0.0,1000.0,3524.8582737388656,ARS (Linear),300
0.005,1000.0,3476.708193924055,ARS (Linear),300
0.01,1000.0,3323.195238971906,ARS (Linear),300
0.015,1000.0,3143.3572011707647,ARS (Linear),300
0.02,1000.0,2945.305649727521,ARS (Linear),300
0.025,1000.0,2461.3416727286026,ARS (Linear),300
0.03,1000.0,2186.7940624268217,ARS (Linear),300
0.035,1000.0,1968.6261087032065,ARS (Linear),300
0.04,1000.0,1645.6146733547141,ARS (Linear),300
0.045,1000.0,1156.2059272247518,ARS (Linear),300
0.05,1000.0,827.2765489442038,ARS (Linear),300
0.055,1000.0,997.1218163244648,ARS (Linear),300
0.06,1000.0,608.217790527335,ARS (Linear),300
0.065,1000.0,461.4116682349971,ARS (Linear),300
0.07,1000.0,-12.191151246756931,ARS (Linear),300
0.075,1000.0,99.79890262404425,ARS (Linear),300
0.08,1000.0,159.33916019902426,ARS (Linear),300
0.085,1000.0,-145.94116439746563,ARS (Linear),300
0.09,1000.0,-56.91823998806377,ARS (Linear),300
0.095,1000.0,-298.29524551330115,ARS (Linear),300
0.1,1000.0,-147.70366727077604,ARS (Linear),300
0.0,1000.0,3147.320404308513,ARS (Linear),400
0.005,1000.0,4055.7530425152845,ARS (Linear),400
0.01,1000.0,4461.849603742302,ARS (Linear),400
0.015,1000.0,2890.455261767019,ARS (Linear),400
0.02,1000.0,2439.1008502165505,ARS (Linear),400
0.025,1000.0,1994.8377657247338,ARS (Linear),400
0.03,1000.0,1168.8288681017164,ARS (Linear),400
0.035,1000.0,929.7759265221304,ARS (Linear),400
0.04,1000.0,1234.2762017769658,ARS (Linear),400
0.045,1000.0,600.071192417731,ARS (Linear),400
0.05,1000.0,526.2477802455038,ARS (Linear),400
0.055,1000.0,244.54692826005885,ARS (Linear),400
0.06,1000.0,186.67416650979848,ARS (Linear),400
0.065,1000.0,-204.64486478251928,ARS (Linear),400
0.07,1000.0,-137.13975628666353,ARS (Linear),400
0.075,1000.0,-245.51570766754006,ARS (Linear),400
0.08,1000.0,-167.89497303356853,ARS (Linear),400
0.085,1000.0,-193.33546257392013,ARS (Linear),400
0.09,1000.0,-15.649343548303378,ARS (Linear),400
0.095,1000.0,-254.5727929308348,ARS (Linear),400
0.1,1000.0,-93.0358832580493,ARS (Linear),400
0.0,1000.0,4955.937983445779,ARS (Linear),500
0.005,1000.0,4830.202258438748,ARS (Linear),500
0.01,1000.0,4724.485173979047,ARS (Linear),500
0.015,1000.0,4562.679318561193,ARS (Linear),500
0.02,1000.0,3765.543677575268,ARS (Linear),500
0.025,1000.0,4071.505272905126,ARS (Linear),500
0.03,1000.0,3270.3670400566516,ARS (Linear),500
0.035,1000.0,2769.201236319693,ARS (Linear),500
0.04,1000.0,2454.2179444113044,ARS (Linear),500
0.045,1000.0,2001.3092630305964,ARS (Linear),500
0.05,1000.0,1574.5732669687704,ARS (Linear),500
0.055,1000.0,1665.8062413720957,ARS (Linear),500
0.06,1000.0,1392.329919629754,ARS (Linear),500
0.065,1000.0,1478.5220516855923,ARS (Linear),500
0.07,1000.0,1307.1298175598042,ARS (Linear),500
0.075,1000.0,1015.89558976909,ARS (Linear),500
0.08,1000.0,1140.5397191425168,ARS (Linear),500
0.085,1000.0,752.4581698718781,ARS (Linear),500
0.09,1000.0,1091.9049277442164,ARS (Linear),500
0.095,1000.0,417.33722456170324,ARS (Linear),500
0.1,1000.0,480.83431588617583,ARS (Linear),500
0.0,1000.0,5747.2296563295795,ES (Neural),100
0.005,1000.0,5332.847988919017,ES (Neural),100
0.01,1000.0,5315.638753435189,ES (Neural),100
0.015,1000.0,5161.3964252858905,ES (Neural),100
0.02,1000.0,4488.394610681904,ES (Neural),100
0.025,1000.0,4097.526051648764,ES (Neural),100
0.03,1000.0,3160.2105335999736,ES (Neural),100
0.035,1000.0,3136.4578065133574,ES (Neural),100
0.04,1000.0,2317.6694105038687,ES (Neural),100
0.045,1000.0,1655.4603507330162,ES (Neural),100
0.05,1000.0,1288.1940226549177,ES (Neural),100
0.055,1000.0,1581.656999669892,ES (Neural),100
0.06,1000.0,796.9768343317648,ES (Neural),100
0.065,1000.0,547.8914759513063,ES (Neural),100
0.07,1000.0,896.2862626290419,ES (Neural),100
0.075,1000.0,475.9739590805538,ES (Neural),100
0.08,1000.0,108.30928893107252,ES (Neural),100
0.085,1000.0,489.93079538374576,ES (Neural),100
0.09,1000.0,250.53361525740806,ES (Neural),100
0.095,1000.0,22.785341081994705,ES (Neural),100
0.1,1000.0,40.835636531596265,ES (Neural),100
0.0,1000.0,5739.065801091234,ES (Neural),200
0.005,1000.0,5709.012895733812,ES (Neural),200
0.01,1000.0,5582.962082629104,ES (Neural),200
0.015,1000.0,5378.383765861682,ES (Neural),200
0.02,1000.0,4913.5145265281335,ES (Neural),200
0.025,1000.0,4253.040856954169,ES (Neural),200
0.03,1000.0,3688.862186739106,ES (Neural),200
0.035,1000.0,2944.9467749425817,ES (Neural),200
