NoiseStd,AvgStep,AvgReturn,Condition,Seed
0.01,1000.0,5032.034141212831,ZOAC (Linear),400
0.02,1000.0,4926.524888904126,ZOAC (Linear),400
0.03,1000.0,4998.072050188412,ZOAC (Linear),400
0.04,1000.0,4980.6805032767,ZOAC (Linear),400
0.05,1000.0,4981.7590484033835,ZOAC (Linear),400
0.06,1000.0,4935.798603307751,ZOAC (Linear),400
0.07,1000.0,4765.102665535607,ZOAC (Linear),400
0.08,1000.0,4890.8837522836175,ZOAC (Linear),400
0.09,1000.0,4803.880024011205,ZOAC (Linear),400
0.1,1000.0,4559.361109249648,ZOAC (Linear),400
0.11,1000.0,4304.888235041293,ZOAC (Linear),400
0.12,1000.0,4103.911252306655,ZOAC (Linear),400
0.13,1000.0,4428.950307125176,ZOAC (Linear),400
0.14,1000.0,4089.0428051760746,ZOAC (Linear),400
0.15,1000.0,3956.827551753886,ZOAC (Linear),400
0.16,1000.0,3791.517071506146,ZOAC (Linear),400
0.17,1000.0,4084.1770963122594,ZOAC (Linear),400
0.18,1000.0,3846.6982165854406,ZOAC (Linear),400
0.19,1000.0,3584.606161769049,ZOAC (Linear),400
0.2,1000.0,2970.5930525762633,ZOAC (Linear),400
0.21,1000.0,2400.3183809576453,ZOAC (Linear),400
0.22,1000.0,2937.758281633434,ZOAC (Linear),400
0.23,1000.0,2638.7150430733773,ZOAC (Linear),400
0.24,1000.0,2572.9892632394785,ZOAC (Linear),400
0.25,1000.0,1929.5109840388477,ZOAC (Linear),400
0.26,1000.0,2666.413496151757,ZOAC (Linear),400
0.27,1000.0,1846.9994502055242,ZOAC (Linear),400
0.28,1000.0,1940.1120195356652,ZOAC (Linear),400
0.29,1000.0,2149.063381455959,ZOAC (Linear),400
0.3,1000.0,1957.4358907307026,ZOAC (Linear),400
0.0,1000.0,4631.626522152418,ZOAC (Linear),500
0.01,1000.0,4604.44542194785,ZOAC (Linear),500
0.02,1000.0,4540.855412022863,ZOAC (Linear),500
0.03,1000.0,4611.304852330878,ZOAC (Linear),500
0.04,1000.0,4570.004314403726,ZOAC (Linear),500
0.05,1000.0,4574.7212359121695,ZOAC (Linear),500
0.06,1000.0,4537.593344565257,ZOAC (Linear),500
0.07,1000.0,4492.512027561028,ZOAC (Linear),500
0.08,1000.0,4502.59529054808,ZOAC (Linear),500
0.09,1000.0,4463.100570849322,ZOAC (Linear),500
0.1,1000.0,4172.581479436338,ZOAC (Linear),500
0.11,1000.0,4400.559963401359,ZOAC (Linear),500
0.12,1000.0,4223.588482137639,ZOAC (Linear),500
0.13,1000.0,4087.9065065761865,ZOAC (Linear),500
0.14,1000.0,3701.7808925325776,ZOAC (Linear),500
0.15,1000.0,4147.156725096147,ZOAC (Linear),500
0.16,1000.0,3849.2043226769224,ZOAC (Linear),500
0.17,1000.0,3581.834918853885,ZOAC (Linear),500
0.18,1000.0,3842.868065749116,ZOAC (Linear),500
0.19,1000.0,3612.2949727344444,ZOAC (Linear),500
0.2,1000.0,3687.8568325740853,ZOAC (Linear),500
0.21,1000.0,3586.369416241988,ZOAC (Linear),500
0.22,1000.0,3335.9042187223463,ZOAC (Linear),500
0.23,1000.0,3450.6766941462433,ZOAC (Linear),500
0.24,1000.0,3079.7721644761614,ZOAC (Linear),500
0.25,1000.0,3205.84122209418,ZOAC (Linear),500
0.26,1000.0,2736.1920541738955,ZOAC (Linear),500
0.27,1000.0,2717.841045074145,ZOAC (Linear),500
0.28,1000.0,2751.8226129451177,ZOAC (Linear),500
0.29,1000.0,2890.494965262222,ZOAC (Linear),500
0.3,1000.0,2696.862351927294,ZOAC (Linear),500
0.0,1000.0,5187.886712014606,ZOAC (Neural),100
0.01,1000.0,5022.008102466931,ZOAC (Neural),100
0.02,1000.0,5088.9464538833845,ZOAC (Neural),100
0.03,1000.0,4984.046850849287,ZOAC (Neural),100
0.04,1000.0,5045.44016132156,ZOAC (Neural),100
0.05,1000.0,5228.378868486144,ZOAC (Neural),100
0.06,1000.0,5075.683960484817,ZOAC (Neural),100
0.07,1000.0,5016.486807587946,ZOAC (Neural),100
0.08,1000.0,4879.180791161074,ZOAC (Neural),100
0.09,1000.0,5059.875759155788,ZOAC (Neural),100
0.1,1000.0,4821.240862463883,ZOAC (Neural),100
0.11,1000.0,5077.8536154842905,ZOAC (Neural),100
0.12,1000.0,4883.808974006164,ZOAC (Neural),100
0.13,1000.0,5029.084297529557,ZOAC (Neural),100
0.14,1000.0,5073.9219418328685,ZOAC (Neural),100
0.15,1000.0,4725.571637073665,ZOAC (Neural),100
0.16,1000.0,4673.643508673927,ZOAC (Neural),100
0.17,1000.0,4629.438526939502,ZOAC (Neural),100
0.18,1000.0,4557.352466717237,ZOAC (Neural),100
0.19,1000.0,4747.741325408518,ZOAC (Neural),100
0.2,1000.0,4767.079893612727,ZOAC (Neural),100
0.21,1000.0,4660.164649102506,ZOAC (Neural),100
0.22,1000.0,4452.3898341946815,ZOAC (Neural),100
0.23,1000.0,4933.029068396235,ZOAC (Neural),100
0.24,1000.0,4729.450623933955,ZOAC (Neural),100
0.25,1000.0,4678.833406808952,ZOAC (Neural),100
0.26,1000.0,4372.844129467058,ZOAC (Neural),100
0.27,1000.0,3981.7187924263094,ZOAC (Neural),100
0.28,1000.0,4447.529646909502,ZOAC (Neural),100
0.29,1000.0,4368.382518222174,ZOAC (Neural),100
0.3,1000.0,4183.0757873232715,ZOAC (Neural),100
0.0,1000.0,5334.658741044329,ZOAC (Neural),200
0.01,1000.0,5335.943032001326,ZOAC (Neural),200
0.02,1000.0,5186.019519287063,ZOAC (Neural),200
0.03,1000.0,5320.594601959588,ZOAC (Neural),200
0.04,1000.0,5340.0893341225155,ZOAC (Neural),200
0.05,1000.0,5304.930063066796,ZOAC (Neural),200
0.06,1000.0,5317.8141736694815,ZOAC (Neural),200
0.07,1000.0,5291.289812741487,ZOAC (Neural),200
0.08,1000.0,5169.243271646046,ZOAC (Neural),200
0.09,1000.0,5277.637399548005,ZOAC (Neural),200
0.1,1000.0,5260.766157356388,ZOAC (Neural),200
0.11,1000.0,5249.290016117835,ZOAC (Neural),200
0.12,1000.0,5217.033241857165,ZOAC (Neural),200
0.13,1000.0,5210.516818374567,ZOAC (Neural),200
0.14,1000.0,5089.384410865837,ZOAC (Neural),200
0.15,1000.0,5183.171194444897,ZOAC (Neural),200
0.16,1000.0,5150.629223499774,ZOAC (Neural),200
0.17,1000.0,5147.793271348163,ZOAC (Neural),200
0.18,1000.0,5129.913848274465,ZOAC (Neural),200
0.19,1000.0,5035.208980578552,ZOAC (Neural),200
0.2,1000.0,5002.123743645232,ZOAC (Neural),200
0.21,1000.0,5052.658710889553,ZOAC (Neural),200
0.22,1000.0,4956.196707079542,ZOAC (Neural),200
0.23,1000.0,4851.388857276807,ZOAC (Neural),200
0.24,1000.0,4706.9898188319785,ZOAC (Neural),200
0.25,1000.0,4675.000590728053,ZOAC (Neural),200
0.26,1000.0,4634.968814138037,ZOAC (Neural),200
0.27,1000.0,4844.0707807672725,ZOAC (Neural),200
0.28,1000.0,4727.422544181376,ZOAC (Neural),200
0.29,1000.0,4637.478063664774,ZOAC (Neural),200
0.3,1000.0,4597.551848626163,ZOAC (Neural),200
0.0,1000.0,5055.481958074153,ZOAC (Neural),300
0.01,1000.0,5304.766119856214,ZOAC (Neural),300
0.02,1000.0,5275.727340606914,ZOAC (Neural),300
0.03,1000.0,5284.600470052906,ZOAC (Neural),300
0.04,1000.0,5282.39683149613,ZOAC (Neural),300
0.05,1000.0,5281.835782105009,ZOAC (Neural),300
0.06,1000.0,5273.441869880116,ZOAC (Neural),300
0.07,1000.0,5276.1748646919195,ZOAC (Neural),300
0.08,1000.0,5267.015321607733,ZOAC (Neural),300
0.09,1000.0,5243.187393347705,ZOAC (Neural),300
0.1,1000.0,5208.243072721656,ZOAC (Neural),300
0.11,1000.0,5204.656684805379,ZOAC (Neural),300
0.12,1000.0,5128.83717549048,ZOAC (Neural),300
0.13,1000.0,5188.0109872572375,ZOAC (Neural),300
0.14,1000.0,5209.039009761937,ZOAC (Neural),300
0.15,1000.0,5147.381889320989,ZOAC (Neural),300
0.16,1000.0,5059.034078840162,ZOAC (Neural),300
0.17,1000.0,5151.443653579735,ZOAC (Neural),300
0.18,1000.0,5045.989156389674,ZOAC (Neural),300
0.19,1000.0,4748.061907461594,ZOAC (Neural),300
0.2,1000.0,4799.873929537689,ZOAC (Neural),300
0.21,1000.0,4941.670007146759,ZOAC (Neural),300
0.22,1000.0,4906.810005858223,ZOAC (Neural),300
0.23,1000.0,4764.9731064756825,ZOAC (Neural),300
0.24,1000.0,4891.18132319001,ZOAC (Neural),300
0.25,1000.0,4519.443552189611,ZOAC (Neural),300
0.26,1000.0,4633.53572794853,ZOAC (Neural),300
0.27,1000.0,4133.420288026612,ZOAC (Neural),300
0.28,1000.0,4376.064102157072,ZOAC (Neural),300
0.29,1000.0,4379.670105989605,ZOAC (Neural),300
0.3,1000.0,4149.629760684237,ZOAC (Neural),300
0.0,1000.0,4956.540384865878,ZOAC (Neural),400
0.01,1000.0,4981.585613252576,ZOAC (Neural),400
0.02,1000.0,5070.020915536395,ZOAC (Neural),400
0.03,1000.0,5012.677303466709,ZOAC (Neural),400
0.04,1000.0,4847.2876950084255,ZOAC (Neural),400
