NoiseStd,AvgStep,AvgReturn,Condition,Seed
0.09,51.07999999999999,85.7106315743074,ARS (Linear),200
0.095,43.599999999999994,72.18380605854736,ARS (Linear),200
0.1,56.43999999999999,85.6353652894492,ARS (Linear),200
0.0,744.5400000000001,1459.5096959710438,ARS (Linear),300
0.005,727.5000000000002,1421.4613670614558,ARS (Linear),300
0.01,718.2199999999999,1417.2867074408005,ARS (Linear),300
0.015,539.2199999999999,1065.5240614366853,ARS (Linear),300
0.02,431.34000000000003,849.4809829692304,ARS (Linear),300
0.025,313.2000000000001,611.2866511411845,ARS (Linear),300
0.03,229.10000000000002,439.5485794685835,ARS (Linear),300
0.035,205.86,394.0736265299014,ARS (Linear),300
0.04,166.74,315.32180037092303,ARS (Linear),300
0.045,129.1,229.5456492859647,ARS (Linear),300
0.05,117.76,219.9474576251827,ARS (Linear),300
0.055,78.32000000000001,137.42991913709758,ARS (Linear),300
0.06,63.63999999999999,107.9968300396857,ARS (Linear),300
0.065,70.16000000000001,120.50508974415287,ARS (Linear),300
0.07,55.339999999999996,93.10561742388933,ARS (Linear),300
0.075,53.78,85.1232049190784,ARS (Linear),300
0.08,47.160000000000004,75.66059811263666,ARS (Linear),300
0.085,64.47999999999998,107.62584020982791,ARS (Linear),300
0.09,47.220000000000006,74.0191377123825,ARS (Linear),300
0.095,38.87999999999999,58.44021417805436,ARS (Linear),300
0.1,48.61999999999999,77.96683431167024,ARS (Linear),300
0.0,995.98,2942.3226362683818,ARS (Linear),400
0.005,977.18,2901.96407042277,ARS (Linear),400
0.01,944.84,2822.0109566675696,ARS (Linear),400
0.015,865.4,2609.3645372289466,ARS (Linear),400
0.02,823.3200000000002,2462.2351224862678,ARS (Linear),400
0.025,745.2,2229.740612662206,ARS (Linear),400
0.03,775.4399999999998,2343.137120582968,ARS (Linear),400
0.035,737.8399999999999,2222.4802892779894,ARS (Linear),400
0.04,603.5600000000001,1832.9401515118902,ARS (Linear),400
0.045,454.0999999999999,1364.659970262604,ARS (Linear),400
0.05,546.16,1585.5950677344968,ARS (Linear),400
0.055,421.82,1240.4606675990153,ARS (Linear),400
0.06,407.88,1206.6581236072293,ARS (Linear),400
0.065,353.26,1045.0894969526703,ARS (Linear),400
0.07,389.67999999999995,1147.3397408635728,ARS (Linear),400
0.075,307.76,911.0580343811112,ARS (Linear),400
0.08,282.9000000000001,820.5040134872712,ARS (Linear),400
0.085,284.78000000000003,814.2714075710415,ARS (Linear),400
0.09,248.2,712.0596023027325,ARS (Linear),400
0.095,269.86000000000007,772.4975331138464,ARS (Linear),400
0.1,276.1799999999999,792.2696408288913,ARS (Linear),400
0.0,1000.0,3271.8993387023675,ARS (Linear),500
0.005,1000.0,3275.014705481728,ARS (Linear),500
0.01,996.74,3264.4556437373562,ARS (Linear),500
0.015,978.5600000000001,3198.7636987263445,ARS (Linear),500
0.02,902.9399999999998,2937.56443114597,ARS (Linear),500
0.025,890.5999999999999,2896.894992490071,ARS (Linear),500
0.03,816.4399999999999,2623.9127287597375,ARS (Linear),500
0.035,599.4799999999999,1895.5388637861456,ARS (Linear),500
0.04,694.7600000000001,2213.7507954326215,ARS (Linear),500
0.045,659.0599999999998,2087.671430884167,ARS (Linear),500
0.05,619.28,1949.2516684356174,ARS (Linear),500
0.055,550.44,1703.9018568720137,ARS (Linear),500
0.06,474.00000000000006,1428.4277990019923,ARS (Linear),500
0.065,446.46000000000015,1338.6261541058225,ARS (Linear),500
0.07,342.36000000000007,998.8259517058978,ARS (Linear),500
0.075,333.92,976.531499760246,ARS (Linear),500
0.08,349.93999999999994,1020.4318538138186,ARS (Linear),500
0.085,317.2999999999999,863.4797695616522,ARS (Linear),500
0.09,343.85999999999996,999.9676651698787,ARS (Linear),500
0.095,315.7799999999999,853.2952225711177,ARS (Linear),500
0.1,294.4800000000001,810.1128623825729,ARS (Linear),500
0.0,724.7800000000001,899.6918864470902,ES (Neural),100
0.005,758.2800000000001,932.1435857748994,ES (Neural),100
0.01,804.4000000000001,968.9782075639556,ES (Neural),100
0.015,792.4600000000002,936.5738883474833,ES (Neural),100
0.02,761.6800000000001,916.1063952300271,ES (Neural),100
0.025,682.96,814.1520699262575,ES (Neural),100
0.03,689.2399999999999,805.4819847139844,ES (Neural),100
0.035,616.42,732.2562090472151,ES (Neural),100
0.04,632.5599999999998,748.5338043198022,ES (Neural),100
0.045,480.73999999999984,565.8620645040825,ES (Neural),100
0.05,543.8400000000001,634.0415326233987,ES (Neural),100
0.055,400.3599999999999,456.3470201531747,ES (Neural),100
0.06,488.24,562.9399056004161,ES (Neural),100
0.065,344.44000000000005,411.225352067292,ES (Neural),100
0.07,283.02000000000004,333.17216643847433,ES (Neural),100
0.075,277.78000000000003,326.66517949639945,ES (Neural),100
0.08,313.56000000000006,359.5208099103585,ES (Neural),100
0.085,348.38,382.99162885252724,ES (Neural),100
0.09,222.92,255.12450677251874,ES (Neural),100
0.095,240.38,266.3154956370071,ES (Neural),100
0.1,130.23999999999998,157.2764402162181,ES (Neural),100
0.0,1000.0,1043.639587123316,ES (Neural),200
0.005,1000.0,1043.705282587868,ES (Neural),200
0.01,1000.0,1043.4831267001227,ES (Neural),200
0.015,1000.0,1043.5974939175417,ES (Neural),200
0.02,1000.0,1042.9660871838241,ES (Neural),200
0.025,984.64,1036.2263764931588,ES (Neural),200
0.03,893.62,948.4669303402912,ES (Neural),200
0.035,830.76,889.3719734973316,ES (Neural),200
0.04,723.3199999999999,771.0880254771225,ES (Neural),200
0.045,600.06,646.969183932691,ES (Neural),200
